Unicode,Bytes,Description
U+26F5,\xe2\x9b\xb5,sailboat
U+26FA,\xe2\x9b\xba,tent
U+26FD,\xe2\x9b\xbd,fuel_pump
U+2934,\xe2\xa4\xb4,arrow_pointing_rightwards_then_curving_upwards
U+2935,\xe2\xa4\xb5,arrow_pointing_rightwards_then_curving_downwards
U+2B05,\xe2\xac\x85,leftwards_black_arrow
U+2B06,\xe2\xac\x86,upwards_black_arrow
U+2B07,\xe2\xac\x87,downwards_black_arrow
U+2B1B,\xe2\xac\x9b,black_large_square
U+2B1C,\xe2\xac\x9c,white_large_square
U+2B50,\xe2\xad\x90,white_medium_star
U+2B55,\xe2\xad\x95,heavy_large_circle
U+3030,\xe3\x80\xb0,wavy_dash
U+303D,\xe3\x80\xbd,part_alternation_mark
U+3297,\xe3\x8a\x97,circled_ideograph_congratulation
U+3299,\xe3\x8a\x99,circled_ideograph_secret
U+1F004,\xf0\x9f\x80\x84,mahjong_tile_red_dragon
U+1F0CF,\xf0\x9f\x83\x8f,playing_card_black_joker
U+1F300,\xf0\x9f\x8c\x80,cyclone
U+1F301,\xf0\x9f\x8c\x81,foggy
U+1F302,\xf0\x9f\x8c\x82,closed_umbrella
U+1F303,\xf0\x9f\x8c\x83,night_with_stars
U+1F304,\xf0\x9f\x8c\x84,sunrise_over_mountains
U+1F305,\xf0\x9f\x8c\x85,sunrise
U+1F306,\xf0\x9f\x8c\x86,cityscape_at_dusk
U+1F307,\xf0\x9f\x8c\x87,sunset_over_buildings
U+1F308,\xf0\x9f\x8c\x88,rainbow
U+1F309,\xf0\x9f\x8c\x89,bridge_at_night
U+1F30A,\xf0\x9f\x8c\x8a,water_wave
U+1F30B,\xf0\x9f\x8c\x8b,volcano
U+1F30C,\xf0\x9f\x8c\x8c,milky_way
U+1F30F,\xf0\x9f\x8c\x8f,earth_globe_asia-australia
U+1F311,\xf0\x9f\x8c\x91,new_moon_symbol
U+1F313,\xf0\x9f\x8c\x93,first_quarter_moon_symbol
U+1F314,\xf0\x9f\x8c\x94,waxing_gibbous_moon_symbol
U+1F315,\xf0\x9f\x8c\x95,full_moon_symbol
U+1F319,\xf0\x9f\x8c\x99,crescent_moon
U+1F31B,\xf0\x9f\x8c\x9b,first_quarter_moon_with_face
U+1F31F,\xf0\x9f\x8c\x9f,glowing_star
U+1F320,\xf0\x9f\x8c\xa0,shooting_star
U+1F330,\xf0\x9f\x8c\xb0,chestnut
U+1F331,\xf0\x9f\x8c\xb1,seedling
U+1F334,\xf0\x9f\x8c\xb4,palm_tree
U+1F335,\xf0\x9f\x8c\xb5,cactus
U+1F337,\xf0\x9f\x8c\xb7,tulip
U+1F338,\xf0\x9f\x8c\xb8,cherry_blossom
U+1F339,\xf0\x9f\x8c\xb9,rose
U+1F33A,\xf0\x9f\x8c\xba,hibiscus
U+1F33B,\xf0\x9f\x8c\xbb,sunflower
U+1F33C,\xf0\x9f\x8c\xbc,blossom
U+1F33D,\xf0\x9f\x8c\xbd,ear_of_maize
U+1F33E,\xf0\x9f\x8c\xbe,ear_of_rice
U+1F33F,\xf0\x9f\x8c\xbf,herb
U+1F340,\xf0\x9f\x8d\x80,four_leaf_clover
U+1F341,\xf0\x9f\x8d\x81,maple_leaf
U+1F342,\xf0\x9f\x8d\x82,fallen_leaf
U+1F343,\xf0\x9f\x8d\x83,leaf_fluttering_in_wind
